iter	MultiClass
0	2.627414085
1	2.553805601
2	2.487302147
3	2.425853328
4	2.36905795
5	2.310198886
6	2.260204186
7	2.20576128
8	2.161709176
9	2.119505976
10	2.077463239
11	2.039712822
12	2.004680388
13	1.966472172
14	1.93237686
15	1.897560566
16	1.86747093
17	1.837308415
18	1.808733312
19	1.779613567
20	1.751689859
21	1.723079512
22	1.697658556
23	1.672232003
24	1.649186742
25	1.630489609
26	1.607837083
27	1.584322736
28	1.561714736
29	1.539858675
30	1.516208824
31	1.496693408
32	1.475366714
33	1.454821416
34	1.433179369
35	1.416139488
36	1.398066578
37	1.380632245
38	1.364449855
39	1.346733639
40	1.33157729
41	1.317725799
42	1.300793274
43	1.285825655
44	1.270973088
45	1.257076944
46	1.243483475
47	1.230331263
48	1.214437719
49	1.201677933
50	1.188305122
51	1.174831718
52	1.161204461
53	1.148614969
54	1.13651027
55	1.12378948
56	1.110750921
57	1.097731167
58	1.085862296
59	1.074690292
60	1.062955867
61	1.052828003
62	1.040766248
63	1.029138772
64	1.017627326
65	1.00644527
66	0.9950110083
67	0.9852228311
68	0.9756412512
69	0.9658290078
70	0.9560723555
71	0.9475346615
72	0.9389659318
73	0.9301302413
74	0.9209354919
75	0.9114681542
76	0.9034184218
77	0.8942383374
78	0.8852337336
79	0.8775712067
80	0.8697533508
81	0.8625495104
82	0.8546184035
83	0.8478525443
84	0.8411226771
85	0.8342677269
86	0.8272521561
87	0.8194039008
88	0.8126534256
89	0.8052521485
90	0.7992107604
91	0.7919053038
92	0.7844850651
93	0.7779389892
94	0.7717141961
95	0.7656385963
96	0.7606633668
97	0.753935381
98	0.7486878129
99	0.7426839386
100	0.7367429423
101	0.73022408
102	0.7239151057
103	0.7175830667
104	0.7114041901
105	0.7053840625
106	0.6994313058
107	0.6945183977
108	0.6887214827
109	0.6830174161
110	0.6774009134
111	0.6715593431
112	0.6659543182
113	0.6603789318
114	0.6553148557
115	0.6502564103
116	0.6455272257
117	0.6405874316
118	0.6351738713
119	0.6307030001
120	0.6257800698
121	0.6214340842
122	0.6160997064
123	0.6111111902
124	0.6064420141
125	0.6019383474
126	0.5975183801
127	0.5928488415
128	0.5885079142
129	0.5842797252
130	0.5799206812
131	0.576447588
132	0.5720229341
133	0.567840714
134	0.5634120224
135	0.5600542307
136	0.5562555177
137	0.5524464499
138	0.5483804003
139	0.5447501053
140	0.5407115522
141	0.5367002648
142	0.5331693213
143	0.5288877885
144	0.5250448008
145	0.5212089021
146	0.5172501474
147	0.5137610007
148	0.5102366001
149	0.5068391148
150	0.5031076162
151	0.4998110806
152	0.4971759996
153	0.4936895161
154	0.4908821891
155	0.4874585025
156	0.4842810035
157	0.4813030787
158	0.4778246054
159	0.4745538878
160	0.4719197276
161	0.4692803
162	0.4664824502
163	0.4633506467
164	0.4602719443
165	0.457095742
166	0.4539620469
167	0.4510021832
168	0.4480554962
169	0.4453538641
170	0.4424436135
171	0.4397464688
172	0.4367615202
173	0.4339769631
174	0.4315517884
175	0.428690843
176	0.4261421075
177	0.4235340216
178	0.4213312614
179	0.4186962568
180	0.416158865
181	0.4136644097
182	0.4113911232
183	0.4087336698
184	0.406261843
185	0.4038610555
186	0.4011580191
187	0.398602783
188	0.3960504045
189	0.3934661271
190	0.3911870048
191	0.389661565
192	0.3871786446
193	0.3847536534
194	0.3825053317
195	0.3801915187
196	0.3777468582
197	0.3753756272
198	0.373106789
199	0.3710335366
