iter	Passed	Remaining
0	114	22773
1	195	19369
2	273	17929
3	344	16871
4	396	15466
5	463	14980
6	500	13796
7	617	14831
8	678	14391
9	763	14498
10	848	14579
11	928	14551
12	1004	14450
13	1061	14104
14	1182	14589
15	1270	14615
16	1333	14359
17	1403	14194
18	1452	13841
19	1493	13438
20	1539	13118
21	1599	12944
22	1661	12785
23	1706	12515
24	1763	12342
25	1821	12193
26	1887	12093
27	1937	11899
28	1999	11788
29	2132	12083
30	2199	11988
31	2257	11854
32	2294	11610
33	2340	11425
34	2381	11226
35	2482	11308
36	2547	11220
37	2592	11050
38	2627	10846
39	2664	10657
40	2742	10635
41	2809	10569
42	2863	10454
43	2911	10321
44	2978	10260
45	3075	10296
46	3227	10507
47	3425	10848
48	3531	10883
49	3582	10747
50	3634	10619
51	3683	10483
52	3737	10366
53	3771	10197
54	3843	10133
55	3911	10057
56	3965	9947
57	4032	9873
58	4095	9787
59	4157	9699
60	4216	9608
61	4257	9476
62	4293	9337
63	4341	9225
64	4401	9141
65	4474	9085
66	4518	8970
67	4553	8840
68	4595	8725
69	4669	8671
70	4733	8600
71	4777	8492
72	4819	8384
73	4871	8294
74	4909	8182
75	4979	8124
76	5025	8026
77	5074	7937
78	5132	7860
79	5172	7759
80	5235	7692
81	5291	7614
82	5343	7531
83	5384	7435
84	5492	7431
85	5577	7393
86	5639	7324
87	5691	7243
88	5759	7182
89	5838	7135
90	5936	7110
91	6205	7284
92	6321	7273
93	6379	7194
94	6416	7091
95	6467	7006
96	6505	6907
97	6540	6807
98	6592	6725
99	6648	6648
100	6684	6552
101	6725	6461
102	6764	6370
103	6807	6284
104	6851	6198
105	6896	6115
106	6961	6050
107	7017	5977
108	7056	5890
109	7097	5807
110	7146	5730
111	7182	5643
112	7214	5554
113	7253	5472
114	7322	5411
115	7386	5349
116	7426	5268
117	7510	5218
118	7554	5142
119	7611	5074
120	7634	4984
121	7665	4900
122	7710	4826
123	7757	4754
124	7802	4681
125	7872	4623
126	7915	4550
127	7956	4475
128	7982	4393
129	8024	4320
130	8085	4258
131	8160	4203
132	8237	4149
133	8303	4089
134	8346	4018
135	8382	3944
136	8427	3875
137	8486	3812
138	8528	3742
139	8566	3671
140	8615	3605
141	8655	3535
142	8682	3460
143	8758	3406
144	8797	3336
145	8827	3264
146	8864	3196
147	8890	3123
148	8933	3057
149	8987	2995
150	9053	2937
151	9098	2873
152	9150	2810
153	9203	2749
154	9271	2691
155	9316	2627
156	9376	2568
157	9416	2503
158	9466	2441
159	9508	2377
160	9559	2315
161	9610	2254
162	9653	2191
163	9695	2128
164	9750	2068
165	9808	2008
166	9856	1947
167	9908	1887
168	9952	1825
169	9980	1761
170	10014	1698
171	10142	1651
172	10204	1592
173	10275	1535
174	10312	1473
175	10354	1411
176	10403	1351
177	10459	1292
178	10511	1233
179	10563	1173
180	10624	1115
181	10703	1058
182	10746	998
183	10792	938
184	10843	879
185	10895	820
186	10961	762
187	11007	702
188	11077	644
189	11123	585
190	11180	526
191	11222	467
192	11253	408
193	11298	349
194	11357	291
195	11417	233
196	11461	174
197	11493	116
198	11521	57
199	11549	0
