iter	Accuracy	MultiClass
0	0.8345127376	2.480291055
1	0.8690861302	2.409959641
2	0.8864739183	2.336979093
3	0.8904164982	2.27270109
4	0.9262029923	2.212519449
5	0.9461180752	2.155847806
6	0.9488475536	2.108485353
7	0.9468257178	2.054628096
8	0.9492519207	2.011073145
9	0.9483420946	1.969592799
10	0.9474322685	1.925975043
11	0.9502628387	1.885470076
12	0.9520824909	1.847416078
13	0.9520824909	1.810152887
14	0.9536999596	1.772581369
15	0.9546097857	1.740834292
16	0.958350182	1.708656175
17	0.9588556409	1.677972807
18	0.96219167	1.648358051
19	0.96219167	1.617689547
20	0.9620905782	1.590622937
21	0.9606752932	1.564037247
22	0.9609785685	1.538072152
23	0.9609785685	1.513642964
24	0.9609785685	1.488921696
25	0.9616862111	1.464251162
26	0.9616862111	1.443721917
27	0.9631014962	1.421797421
28	0.9634047715	1.400973773
29	0.9632025879	1.381378089
30	0.9644156894	1.36197698
31	0.9647189648	1.341719927
32	0.965123332	1.321024801
33	0.9647189648	1.30189921
34	0.9639102305	1.283291506
35	0.9640113223	1.26468444
36	0.965123332	1.247343333
37	0.9653255156	1.230767162
38	0.9656287909	1.215997574
39	0.9669429842	1.199598188
40	0.9671451678	1.183539457
41	0.9672462596	1.167964957
42	0.9671451678	1.152770986
43	0.9671451678	1.138073071
44	0.9671451678	1.122634073
45	0.9691670036	1.107537405
46	0.9688637283	1.092529897
47	0.9686615447	1.078357681
48	0.9669429842	1.064136432
49	0.9690659118	1.051625888
50	0.9698746462	1.037028684
51	0.9685604529	1.024684115
52	0.967044076	1.011519612
53	0.969975738	0.9990659825
54	0.9716942984	0.9867736568
55	0.9726041245	0.9744995987
56	0.9735139507	0.9625341169
57	0.9716942984	0.9507073149
58	0.9706833805	0.9390274407
59	0.9727052163	0.9278784695
60	0.9727052163	0.9174151347
61	0.9729073999	0.9057200524
62	0.9727052163	0.8948046348
63	0.9732106753	0.8840960471
64	0.9733117671	0.8733085045
65	0.9733117671	0.8636806404
66	0.9737161342	0.8541655893
67	0.9737161342	0.845024864
68	0.9736150425	0.8362372587
69	0.9734128589	0.827158723
70	0.9737161342	0.8181850195
71	0.973817226	0.809199989
72	0.973817226	0.8003386617
73	0.9758390619	0.7919950656
74	0.9759401537	0.7834407095
75	0.9758390619	0.7738353978
76	0.9759401537	0.765717409
77	0.9759401537	0.7572569309
78	0.9759401537	0.7496300736
79	0.9759401537	0.7419511672
80	0.9759401537	0.7339496564
81	0.9759401537	0.7266390186
82	0.9759401537	0.7192050946
83	0.9759401537	0.7120305995
84	0.9759401537	0.7051819628
85	0.9759401537	0.6979272253
86	0.9759401537	0.6904020629
87	0.9759401537	0.6831788468
88	0.9760412455	0.6762213543
89	0.9760412455	0.669303264
90	0.9761423372	0.6637684027
91	0.976243429	0.6575081467
92	0.976243429	0.6508865837
93	0.976243429	0.6447157046
94	0.976243429	0.6384355556
95	0.976243429	0.6323995345
96	0.9760412455	0.6266648625
97	0.9760412455	0.6204402055
98	0.9760412455	0.6145934852
99	0.976243429	0.6086350365
100	0.976243429	0.6027087947
101	0.9771532552	0.5965760567
102	0.9772543469	0.5911100579
103	0.9772543469	0.5853617554
104	0.9773554387	0.5798868422
105	0.9774565305	0.5739224739
106	0.9774565305	0.5681864528
107	0.9778608977	0.562742201
108	0.9780630813	0.5570782961
109	0.9780630813	0.5515360126
110	0.9787707238	0.5459445669
111	0.9787707238	0.5411688207
112	0.9794783664	0.5355295251
113	0.9794783664	0.5308653729
114	0.9794783664	0.5258215348
115	0.9797816417	0.5207727326
116	0.9795794581	0.5161019388
117	0.9797816417	0.5114095507
118	0.9797816417	0.5067812825
119	0.9797816417	0.5023374263
120	0.9800849171	0.4978424312
121	0.9797816417	0.4931785952
122	0.9804892843	0.4883052022
123	0.9804892843	0.4841559198
124	0.9801860089	0.4799720319
125	0.9802871007	0.4757501654
126	0.9802871007	0.4715549544
127	0.9802871007	0.4673066996
128	0.9802871007	0.4631333041
129	0.9802871007	0.4587966946
130	0.9802871007	0.4548110618
131	0.9802871007	0.4515390719
132	0.9802871007	0.4475040369
133	0.9802871007	0.4430791799
134	0.9801860089	0.4393276067
135	0.9801860089	0.4353437354
136	0.9804892843	0.4316493195
137	0.9804892843	0.4276926897
138	0.9804892843	0.4241109048
139	0.9804892843	0.4206102564
140	0.9804892843	0.4168265877
141	0.9804892843	0.4129260383
142	0.9804892843	0.4094092947
143	0.9804892843	0.4063373702
144	0.9804892843	0.402617453
145	0.9806914679	0.3991518565
146	0.9806914679	0.3956992432
147	0.9807925596	0.3923407832
148	0.9807925596	0.3893308644
149	0.9807925596	0.3861454175
150	0.9807925596	0.383090732
151	0.9807925596	0.3799191137
152	0.9809947432	0.3765466367
153	0.9809947432	0.3732220273
154	0.9809947432	0.3701816526
155	0.9809947432	0.3670403915
156	0.9811969268	0.3642619095
157	0.9809947432	0.36158192
158	0.9811969268	0.3585424253
159	0.9811969268	0.3559864163
160	0.9811969268	0.3532010593
161	0.981095835	0.3504771406
162	0.9811969268	0.3476814449
163	0.9811969268	0.3450005135
164	0.9811969268	0.3423321561
165	0.9813991104	0.3399832835
166	0.9811969268	0.3374183621
167	0.9813991104	0.3348024657
168	0.9813991104	0.3319958082
169	0.9813991104	0.3294435325
170	0.9813991104	0.3268743931
171	0.9812980186	0.3243045764
172	0.9818034776	0.3215614548
173	0.9818034776	0.3191350773
174	0.9818034776	0.3164999154
175	0.9818034776	0.3139477459
176	0.9819045693	0.3114347734
177	0.9820056611	0.3088996028
178	0.9820056611	0.30649358
179	0.9817023858	0.3041484297
180	0.9817023858	0.3018838125
181	0.9819045693	0.2995305079
182	0.9818034776	0.2972208702
183	0.9818034776	0.2948483586
184	0.9818034776	0.2925217065
185	0.9818034776	0.2903986243
186	0.9818034776	0.2881694036
187	0.9818034776	0.2860092004
188	0.9818034776	0.2839806156
189	0.9818034776	0.2818294089
190	0.9818034776	0.2796692179
191	0.9818034776	0.2777562917
192	0.9818034776	0.2757200521
193	0.9819045693	0.2737018243
194	0.9818034776	0.2718438532
195	0.9818034776	0.2699290113
196	0.9818034776	0.2678855961
197	0.9818034776	0.2660773586
198	0.9818034776	0.2641070833
199	0.9819045693	0.2622209003
