iter	Passed	Remaining
0	165	33024
1	195	19328
2	219	14426
3	241	11836
4	261	10195
5	280	9068
6	305	8432
7	327	7858
8	347	7368
9	378	7185
10	398	6841
11	418	6552
12	436	6277
13	458	6097
14	485	5981
15	505	5814
16	526	5667
17	552	5584
18	580	5526
19	599	5395
20	618	5268
21	636	5151
22	660	5084
23	680	4988
24	699	4896
25	715	4790
26	736	4717
27	760	4673
28	786	4639
29	805	4564
30	825	4497
31	852	4476
32	874	4423
33	892	4355
34	909	4289
35	934	4256
36	954	4205
37	972	4147
38	992	4098
39	1010	4042
40	1030	3996
41	1054	3968
42	1080	3946
43	1098	3894
44	1119	3856
45	1137	3808
46	1157	3767
47	1177	3729
48	1195	3682
49	1214	3642
50	1234	3607
51	1261	3591
52	1286	3566
53	1304	3526
54	1331	3509
55	1354	3482
56	1375	3450
57	1401	3432
58	1423	3401
59	1441	3362
60	1462	3332
61	1480	3294
62	1501	3266
63	1520	3230
64	1537	3194
65	1557	3161
66	1576	3128
67	1597	3101
68	1617	3070
69	1638	3043
70	1661	3018
71	1684	2994
72	1707	2970
73	1731	2948
74	1749	2916
75	1771	2889
76	1789	2859
77	1808	2829
78	1826	2798
79	1845	2768
80	1866	2741
81	1886	2714
82	1907	2688
83	1930	2665
84	1949	2636
85	1967	2607
86	1987	2580
87	2004	2551
88	2024	2524
89	2040	2494
90	2060	2468
91	2081	2443
92	2106	2423
93	2128	2399
94	2150	2377
95	2172	2353
96	2191	2327
97	2216	2306
98	2234	2279
99	2255	2255
100	2274	2229
101	2292	2202
102	2310	2175
103	2329	2150
104	2347	2123
105	2364	2096
106	2386	2074
107	2412	2055
108	2432	2030
109	2451	2006
110	2475	1984
111	2495	1960
112	2512	1934
113	2534	1911
114	2551	1886
115	2568	1860
116	2590	1837
117	2610	1813
118	2631	1791
119	2660	1773
120	2677	1748
121	2699	1726
122	2725	1706
123	2747	1684
124	2765	1659
125	2788	1637
126	2807	1613
127	2834	1594
128	2854	1570
129	2872	1546
130	2899	1527
131	2928	1508
132	2949	1485
133	2967	1461
134	2988	1438
135	3008	1415
136	3028	1392
137	3050	1370
138	3075	1349
139	3095	1326
140	3116	1303
141	3139	1282
142	3160	1259
143	3180	1236
144	3198	1213
145	3215	1189
146	3234	1166
147	3260	1145
148	3278	1122
149	3301	1100
150	3328	1080
151	3354	1059
152	3377	1037
153	3402	1016
154	3428	995
155	3449	973
156	3466	949
157	3488	927
158	3509	904
159	3527	881
160	3545	858
161	3574	838
162	3599	817
163	3620	794
164	3644	772
165	3664	750
166	3690	729
167	3712	707
168	3733	684
169	3753	662
170	3780	641
171	3803	619
172	3831	597
173	3853	575
174	3875	553
175	3904	532
176	3925	510
177	3956	489
178	3982	467
179	4008	445
180	4036	423
181	4067	402
182	4094	380
183	4119	358
184	4147	336
185	4173	314
186	4196	291
187	4221	269
188	4245	247
189	4270	224
190	4290	202
191	4315	179
192	4335	157
193	4353	134
194	4372	112
195	4389	89
196	4407	67
197	4426	44
198	4449	22
199	4467	0
